Id,	OverallQual, GrLivArea,	BedroomAbvGr,	FullBath,	HalfBath,	YearBuilt,	YearRemodAdd,	TotalBsmtSF,	GarageCars,	GarageArea,	LotArea,	Neighborhood,	HouseStyle,	ExteriorQuality,	SalePrice
74	2	3734	4	3	1	2022	2022	1963	3	453	15964	OldTown	SLvl	Fair	437483
75	7	1008	3	3	1	1990	1990	1519	0	641	11084	OldTown	2Story	Typical	371041
76	5	1705	4	3	0	1959	2015	1387	1	719	24946	NridgHt	1.5Fin	Fair	461331
77	4	2648	1	1	0	2020	2020	2142	2	714	4556	NAmes	SLvl	Fair	414093
78	3	3677	5	1	0	1976	1976	768	0	759	5184	OldTown	2Story	Fair	345341
79	6	863	2	1	1	1997	1997	1258	3	241	7233	Somerst	2Story	Good	401933
80	7	2863	3	1	1	2003	2003	1521	1	847	9140	CollgCr	1Story	Excellent	554222
81	10	1615	3	1	1	1951	2019		1	350	14655	NridgHt	SLvl	Good	610145
82	5	1287	5	3	0	1966	1966	830	1	375	28477	Somerst	1Story	Fair	384972
83	2	2513	2	1	0	2002	2002	1584	3	788	20036	NridgHt	1Story	Excellent	464435
84	9	2097	2	3	1	1974	1974	1121	0	327	12431	NridgHt	1Story	Poor	557945
85	7	3007	2	2	1	1950	1981	1355	3	74	7528	NAmes	1.5Fin	Fair	461012
86	8	1702	2	2	1	1951	2025	2157	3	715	19980	OldTown	2Story	Poor	459614
87	1	3776	1	1	0	2012	2012	984	3	662	8714	Somerst	1.5Fin		440807
88	4	720	1	1	0	1961	1987	1671	3	582	29320	NAmes	1.5Fin	Poor	269585
89	8	3934	2	2	0	1957	1960	2355	3	143	15115	OldTown	1Story	Typical	540024
90	9	522	3	1	1	1992	1992	1906	2	632	17198	Somerst	2Story	Poor	437294
91	5	3417	2	3	0	1959	1989	2472	1	198	27250	Somerst	1Story	Fair	515039
92	9	1820	2	1	1	1999	1999	1459	1	556	10202	OldTown	1Story		502415
93	9	1972	4	1	0	1991	2003	705	3	508	14946	NridgHt	2Story		634822
94	4	478	2	3	0	1999	2024	2479	1	773	16661	Somerst	2Story	Poor	323988
95	9	3279	5	2	0	1987	1987	1612	2	977	9225	NAmes	1Story		527514
96	3	1078	4	1	1	2009	2009	603	0	190	3057	CollgCr	2Story	Fair	232164
97	3	3103	1	3	1	1999	1999	793	1	114	9587	NridgHt	2Story	Excellent	503091
98	7	3373	2	1	1	1981	2005	655	1	556	4702	NAmes	SLvl	Poor	445173
99	7	3866	1	3	1	1951	1985		1	952	20757	NAmes	1.5Fin	Poor	529259
100	2	3303	2	3	0	1970	1971	231	2	158	1704	OldTown	2Story	Typical	259576
101	9	1636	2	3	0	1959	1966	1850	2	487	10520	NridgHt	2Story	Fair	549398
102	2	3428	1	3	1	1951	1955	1385	1	407	26700	Somerst	1Story	Poor	411813
103	9	3787	1	1	0	1970	1986	183	0	318	17706	NAmes	2Story	Typical	568219
104	1	1700	3	3	0	1965	2001	1534	2	664	20632	OldTown	1.5Fin	Good	234556
105	8	909	4	1	1	1955	1967	1883	0	295	20553	NridgHt	1Story	Poor	440184
106	8	4049	2	2	1	1973	1973	1815	3	493	10002	CollgCr	SLvl	Good	618987
107	8	1006	5	1	0	1988	1988	1321	3	846	19521	Edwards	1.5Fin	Poor	399650
108	7	2835	2	2	1	1963	2001	838	0	379	7803	OldTown	SLvl	Good	418091
109	5	1368	5	3	1	1970	1976	409	1	21	19612	Somerst	2Story	Fair	405487
110	8	916	2	2	1	1951	1969	30	0	885	20968	Somerst	SLvl	Fair	401195
111	3	3584	3	1	1	1953	1961	899	1	274	26470	Somerst	2Story	Poor	408385
112	8	989	4	1	0	1961	2006	1581	0	773	27707	NAmes	SLvl	Excellent	494608
113	6	3148	1	3	0	1984	2015	94	3	763	2183	OldTown	1.5Fin	Typical	429357
114	5	3242	5	2	1	2000	2008	2497	0	526	10025	Somerst	1.5Fin	Good	554797
115	6	646	2	2	0	2009	2009	1465	2	87	17093	OldTown	1Story	Fair	301221
116	6	1109	3	2	0	1997	2005	736	2	951	10664	Somerst	SLvl	Poor	361805
117	1	3657	4	1	1	1996	1996	2406	0	681	19130	Edwards	1Story	Poor	335796
118	2	2480	4	2	0	2021	2021	460	3	424	25846	OldTown	1Story	Typical	371219
119	3	897	1	2	1	1969	1977	2394	0	854	8854	NAmes	2Story	Fair	263332
120	2	4467	5	3	0	2010	2010	704	3	788	26962	NridgHt	SLvl	Good	597517
121	5	1486	4	2	0	2021	2021	949	2	761	26638	Somerst	SLvl	Good	445383
122	7	416	5	3	1	1993	2025	1063	2	168	27550	NridgHt	SLvl	Fair	489069
123	7	4190	3	3	1	2013	2025	2488	3		3595	CollgCr	1.5Fin	Typical	619132
124	5	467	4	1	0	1960	1968	627	1	286	9855	CollgCr	SLvl	Fair	241776
125	9	2669	3	2	0	2016	2016	2433	1	78	5037	CollgCr	2Story	Good	590275
126	6	4472	5	2	0	1992	1992	867	0	338	4929	NAmes	2Story	Good	581752
127	1	2769	5	1	0	1966	2016	713	3	104	3014	CollgCr	1Story	Good	374482
128	8	2797	5	1	1	1954	2011	1596	1	105	14040	CollgCr	SLvl	Poor	497091
129	6	1991	3	3	0	2004	2004	1735	3	727	3985	NridgHt	2Story	Fair	506675
130	7	920	4	2	0	1982	1982	862	1	502	9929	CollgCr	1Story	Excellent	410052
131	6	2748	2	1	0	1973	1992	335	3	398	29469	Edwards	2Story	Fair	423083
132	6	4079	3	1	0	1979	2000	990	3	192	26691	Edwards	1.5Fin	Poor	498494
133	1	773	4	1	1	2025	2025	1351	1	771	28207	OldTown	2Story	Poor	205097
134	6	4010	1	1	0	1982	2007	100	1	634	2544	NridgHt	2Story	Poor	545654
135	8	2102	4	1	1	1955	1966	196	3	586	20336	NAmes	2Story	Good	469912
136	4	2598	1	3	0	1971	1971	2295	0	190	19566	NridgHt	1.5Fin	Poor	461208
137	7	1078	3	3	0	1961	1998	89	0	123	5283	Somerst	1.5Fin	Typical	372674
138	1	2949	3	2	1	2002	2002	1017	1	123	27327	CollgCr	1.5Fin	Fair	364770
139	4	1147	3	2	0	2010	2020	1910	2	25	13025	Somerst	1Story	Poor	347585
140	5	1520	3	3	0	2013	2013	820	0	970	29336	OldTown	2Story	Excellent	415063
141	10	3359	3	3	0	1998	1998	1237	1	368	4748	NridgHt	1.5Fin	Good	709612
142	3	607	3	1	0	2008	2008	216	3	658	20029	NAmes	1Story	Excellent	307574
143	3	2233	3	3	1	1981	1981	1986	0	983	5226	NAmes	1Story	Excellent	411554
144	5	2838	3	1	1	1997	2016	1586	0	937	28573	Edwards	2Story	Excellent	459874
145	10	941	4	1	0	1958	2012		1	320	18817	NridgHt	1.5Fin	Good	558287
146	9	1608	3	2	1	1990	1990	2160	0	490	3656	NAmes	1.5Fin	Typical	468546
147	1	1808	4	3	1	1992	2003	877	0	463	7622	Somerst	1Story	Good	295254
148	3	3121	5	1	1	1952	1977	102	0	33	11739	NridgHt	1.5Fin	Typical	409904
149	9	4405	5	1	0	1991	1991	866	0		1866	OldTown	1Story	Poor	536969
150	1	3829	1	1	1	2004	2014	363	3	574	1748	NridgHt	1.5Fin	Fair	451515
151	9	1178	4	2	0	1977	2013	1333	0	371	27877	Somerst	1.5Fin	Typical	509470
152	3	474	2	3	1	1991	1991	366	2	558	29464	CollgCr	1Story	Poor	279123
153	10	612	1	1	1	1971	1973		2	736	16782	NridgHt	2Story	Excellent	595811
154	3	2843	4	1	0	1970	2012	1506	2	14	27228	Somerst	SLvl	Excellent	473185
155	5	1040	1	1	0	1959	2019	632	2	646	20174	NAmes	2Story	Typical	314058
156	7	1348	5	1	1	1974	1974	2303	1	862	2299	Edwards	1.5Fin	Typical	403532
157	2	3875	4	1	0	2011	2013	1924	3	727	21863	Edwards	1.5Fin	Excellent	508196
158	6	3983	5	2	1	2021	2021	1094	0	620	2016	Somerst	1Story	Typical	569073
159	6	3840	4	2	1	1998	1998	366	0	90	24771	Somerst	SLvl	Good	541370
160	8	1440	5	2	0	1997	1997	859	3	745	11958	OldTown	2Story	Typical	395299
161	10	2941	1	3	0	1996	2001	1460	0	751	5525	CollgCr	SLvl	Fair	577872
162	7	2904	5	2	0	1986	2001	1915	0	494	8868	CollgCr	2Story	Good	498657
163	5	1159	1	1	0	1982	2000	655	0	583	20976	NAmes	1.5Fin	Poor	314624
164	5	2670	2	2	0	1997	2010	1857	0	619	25638	Edwards	2Story	Fair	427728
165	5	2554	1	1	0	2009	2021	707	0	121	17766	NridgHt	SLvl	Good	485289
166	9	2024	3	3	1	1981	2014	617	2	257	6073	NAmes	1Story	Good	492958
167	4	3482	4	1	0	1993	2006	1117	2	793	27155	Somerst	SLvl	Excellent	573658
168	2	3178	2	1	1	1985	2024	402	0	974	24034	Edwards	1Story	Good	337313
169	4	2584	5	3	1	1971	2001	1012	3	270	13181	CollgCr	SLvl	Poor	390739
170	1	3376	4	2	1	1972	2001	894	0	401	17302	CollgCr	1Story	Excellent	397397
171	2	3529	4	1	1	1955	1991	700	2	916	28972	CollgCr	1Story	Typical	413657
172	1	2725	5	3	0	1983	2008	1939	3	162	12256	Somerst	1Story	Poor	383181
173	8	1497	3	1	1	2004	2004	829	2	261	2234	CollgCr	1.5Fin	Typical	470796
174	8	3510	2	3	0	2002	2002	1738	1	55	5653	Somerst	2Story	Poor	594863
175	7	3342	5	3	0	2024	2024	1801	0	235	18609	OldTown	1.5Fin	Typical	526095
176	5	4432	3	2	0	1953	2019	1665	0	636	29935	NAmes	SLvl	Typical	547433
177	8	1014	4	2	1	2007	2007	673	3	348	22587	NAmes	1Story	Poor	405982
178	2	2119	2	2	1	2010	2010	2074	1	984	19113	OldTown	1.5Fin	Excellent	332493
179	10	4190	2	2	1	1983	1983	591	0	892	10705	OldTown	1.5Fin	Typical	574690
180	6	2510	1	1	1	1971	2017	693	2	896	14022	Somerst	2Story	Excellent	505626
181	10	4265	2	1	0	1977	2014	2188	2	727	2593		SLvl	Typical	608595
182	2	451	1	1	1	2001	2001	849	0	702	12077	NAmes	1.5Fin	Typical	173083
183	5	544	4	3	0	2015	2016	1743	0	510	19269	CollgCr	1Story	Excellent	406223
184	7	3664	1	1	1	1998	1998	105	0	991	27314	Edwards	1.5Fin	Fair	498149
185	5	1869	4	2	0	1989	2023	1536	0	95	27789	OldTown	2Story	Excellent	446726
186	5	2533	5	3	1	1999	2005	2172	2	723	24904	Somerst	1Story	Poor	470110
187	2	2155	4	3	0	1955	1955	1772	0	140	2112	NridgHt	SLvl	Excellent	392250
188	4	2073	3	1	1	1996	1996	1456	2	339	24619	OldTown	1Story	Good	354900
189	3	4252	1	1	0	1953	1980	2123	0		7730	Edwards	1Story	Typical	413139
190	4	785	5	3	0	2022	2022	745	3	601	19062	Somerst	1Story	Fair	369272
191	7	3566	1	1	1	2017	2017		2	787	28473	CollgCr	SLvl	Typical	562598
192	7	4048	4	1	0	1988	2024	173	1	79	26807	Edwards	1.5Fin	Typical	539818
193	7	3096	4	3	0	1978	2016	1746	1	602	20436	CollgCr	SLvl	Excellent	623862
194	4	2019	1	3	0	2005	2005	1809	0	221	10029	Edwards	2Story	Excellent	395324
195	10	1056	4	3	0	1998	1998	1879	0	77	16345	Somerst	1Story	Typical	520706
196	1	3199	1	3	0	2003	2003	1872	2	417	21556	NAmes	2Story	Fair	368571
197	4	2322	2	1	1	1989	2019	318	0	581	16155	CollgCr	1Story	Fair	356579
198	2	1012	5	1	0	1967	1975	1666	2	202	13027	NAmes	1.5Fin	Fair	226748
199	4	1874	5	1	0	1955	1955	1909	1	390	12981	NAmes	2Story	Poor	299534
200	10	4343	2	1	0	1971	1980	509	0	954	18600	NAmes	SLvl	Poor	607363
201	4	1488	5	3	1	1990	1990	1191	2	347	2519	Somerst	2Story	Good	406845
202	10	1131	5	1	1	1982	1997	2283	2	996	29948	NridgHt	2Story	Fair	622447
203	5	3196	4	2	0	1988	1988	1037	2	835	4408	OldTown	SLvl	Typical	440583
204	7	1218	1	3	0	1971	2020	1883	0	371	29559	NridgHt	1.5Fin	Good	530734
205	5	4172	2	3	0	2021	2021	1326	2	577	2508	Somerst	1Story	Good	578947
206	3	3922	4	1	1	1977	2024	1645	3	709	16110	Somerst	2Story	Fair	515976
207	8	4433	5	2	1	2014	2014	1566	1	465	13401	Somerst	2Story	Good	705278
208	10	4142	5	2	1	1979	1999	1628	3	408	17855	CollgCr	1.5Fin	Poor	722903
209	3	1399	3	3	0	1983	1983	1949	2	330	13857	Edwards	1.5Fin	Typical	307545
210	8	1270	2	2	1	1995	2003	2261	1	139	27074	Edwards	1.5Fin	Poor	434535
211	3	1805	5	1	0	1969	2006	739	3	24	1974	Edwards	SLvl	Typical	285539
212	8	2326	2	3	1	1966	1974	2321	3	337	29591	Somerst	1.5Fin	Poor	551019
213	8	4008	2	3	1	1978	2021	1570	0	796	21149	NAmes	2Story	Excellent	643563
214	5	3408	5	2	0	2011	2015	1489	3	233	23691	Somerst	1Story	Good	581392
215	8	3042	3	1	1	1960	2017	819	0	179	5484	Somerst	1.5Fin	Fair	526050
216	3	4002	2	2	1	1983	1983	1042	0		3357	NAmes	2Story	Good	444643
217	1	3048	1	3	0	2001	2004	1629	0	599	12815	OldTown	2Story	Fair	301245
218	1	1954	3	3	0	2003	2003	909	1	215	10695	NridgHt	SLvl	Typical	347182
219	5	2093	5	2	0	1983	1983	718	3	220	23815	NAmes	SLvl	Poor	373260
220	10	2520	3	1	1	1956	2023	2048	2		27052	NAmes	2Story	Typical	550704
221	2	764	4	2	0	1951	1961	1038	2	332	13683	Somerst	1.5Fin	Poor	262235
222	5	3441	2	3	0	1985	2015	1612	0	217	23398	CollgCr	SLvl	Poor	467685
223	8	3077	4	3	1	2011	2011	78	2	832	3197	Somerst	1Story	Typical	593179
224	3	3398	4	1	0	1952	1973	193	1	906	22654	NridgHt	2Story	Typical	462335
225	8	2589	4	1	0	2017	2017	2121	1	370	4331	OldTown	1.5Fin	Fair	480469
226	4	3610	4	2	1	2001	2001	355	1	85	20536	OldTown	2Story		384849
227	9	4294	3	1	1	1950	2004	1990	0	87	12391	OldTown	SLvl	Typical	557703
228	6	2737	2	3	1	1976	1985	2251	3	325	13335		2Story	Excellent	487673
229	6	2222	4	1	0	1966	2011	1203	2	463	9376	OldTown	1Story	Good	434840
230	2	829	5	2	0	2022	2022	2212	1	528	12992	Edwards	2Story	Poor	242613
231	5	3593	5	3	0	1992	1992	1068	0	304	26421	NridgHt	2Story	Excellent	643883
232	9	4107	2	3	1	1974	1974	2380	3	354	24555	NridgHt	SLvl	Typical	767227
233	1	3268	4	3	0	1971	1994	593	1	283	11199	NridgHt	1Story	Typical	404440
234	8	3949	1	1	0	1992	1992	1070	1	518	9873	NAmes	1Story	Poor	531582
235	5	3931	3	3	1	1950	1986	972	2	697	16010	CollgCr	1Story	Fair	506531
236	8	3672	3	2	1	1969	1991	1960	0	43	21018	Somerst	1.5Fin	Good	606418
237	7	2462	2	1	1	1962	1992	109	2	479	6696	Edwards	SLvl	Fair	390835
238	5	809	5	2	0	1997	1997	2071	3	649	22197	OldTown	1.5Fin	Poor	328465
239	4	413	5	2	1	2000	2000	58	1	673	28538	CollgCr	SLvl	Poor	271214
240	7	1238	1	2	0	1985	1988	789	0	564	25570	NAmes	SLvl	Excellent	426975
241	2	2167	2	1	1	1960	1971	1490	0	525	17126	CollgCr	1.5Fin	Excellent	353466
242	6	3449	2	2	0	1978	1978	363	0	681	10617	OldTown	1.5Fin		433075
243	1	2269	5	2	1	2014	2014	1225	2	378	10719	OldTown	1Story	Excellent	300781
244	7	494	3	1	0	1965	2021	2493	1	567	22644	Edwards	SLvl	Excellent	423786
245	7	1262	4	3	1	1962	2007	2058	0	319	14463	CollgCr	SLvl		423743
246	1	4415	5	1	0	1958	1998		2	438	4535	CollgCr	SLvl	Good	396691
247	8	4451	4	3	1	2012	2020	1479	0	124	20813	NridgHt	SLvl	Fair	703647
248	5	1946	1	1	0	1959	2018	1493	1	350	5434	OldTown	2Story	Fair	321224
249	8	3701	1	3	0	1994	1994	170	3	142	29627	CollgCr	1Story	Good	629853
250	1	3349	2	2	0	2025	2025	1626	0	226	13394	Edwards	SLvl		336598
251	2	4219	2	1	1	1998	1998	1303	0	419	11247	Edwards	2Story	Fair	398999
252	5	4039	4	1	0	1981	1997	1705	1	500	3073	Edwards	SLvl	Fair	480922
253	2	2978	1	3	0	1965	1971	744	2	942	6280	CollgCr	1.5Fin	Poor	346455
254	4	2018	2	3	1	1950	2014	639	0	26	28510	Somerst	2Story	Excellent	429963
255	7	2969	2	1	0	1961	2016	1840	3	899	16808	CollgCr	2Story	Good	562853
256	2	1708	1	2	0	2022	2022	1804	0	328	27204	NridgHt	1.5Fin	Excellent	455386
257	7	1827	1	2	1	1960	1986	404	3	724	28744	OldTown	2Story	Typical	385564
258	2	2896	1	1	1	1951	1964	541	2	678	2894	OldTown	2Story	Poor	210859
259	2	2743	3	2	1	2012	2012	1466	0	971	12352	OldTown	1Story	Fair	280049
260	6	2782	3	3	1	1981	1981	2073	0	108	25392	OldTown	1.5Fin	Fair	438144
261	8	1977	3	3	0	1977	1977	504	0	968	15627	Edwards	1Story	Excellent	490098
262	2	2077	3	3	0	2004	2004	548	1	62	16003	OldTown	1Story	Fair	241971
263	3	441	4	1	0	1989	1989	2020	1	878	17748	NAmes	1Story	Good	297667
264	10	2867	5	1	1	2019	2019	1742	2	652	21506	Edwards	1.5Fin	Poor	582246
265	10	2761	3	2	1	1985	1997	2256	1	482	28255	CollgCr	1Story	Excellent	703205
266	6	4235	4	1	0	2004	2004	1959	2	398	26778	NAmes	2Story	Good	599784
267	5	2468	4	2	1	2016	2016	2384	1	93	19315	NridgHt	1Story	Typical	521920
268	4	2317	4	1	0	1985	1985		1	802	17944	CollgCr	1.5Fin	Fair	379031
269	7	677	1	1	0	1971	2003	680	1	728	11788	Edwards	1Story	Fair	319429
270	6	1206	5	1	1	2024	2024	595	1	938	4815	CollgCr	1Story	Fair	377007
271	3	1786	1	1	1	1967	2022	138	3	731	21707	OldTown	2Story	Typical	249153
272	1	1946	3	3	1	1952	1954	1948	0	957	1573	OldTown	1.5Fin	Excellent	273467
273	2	1887	4	1	1	1993	2014	1655	1	887	21398	NAmes	1Story	Fair	290891
274	10	2016	3	3	1	2025	2025	215	3	426	15662	NridgHt	2Story	Good	679512
275	5	3553	2	1	1	1956	1956	495	2	704	23915	CollgCr	SLvl	Typical	460532
276	5	937	5	1	0	2014	2014	477	0	264	28554	Edwards	1.5Fin	Good	365151
277	5	1762	1	2	0	2013	2013	1007	3	796	17260	Edwards	SLvl	Good	361029
278	8	1067	2	3	1	2020	2020	1139	0	609	17820	OldTown	2Story	Poor	385583
279	1	1662	5	1	0	1982	2024	722	0	440	15390	Edwards	SLvl	Poor	223627
280	1	3207	4	1	0	1969	1969	2326	1	628	12129	Edwards	1Story	Excellent	357320
281	3	591	1	3	0	1988	1991	532	2	277	4033	NAmes	1.5Fin	Poor	199893
282	5	1792	4	2	0	1960	1965	1405	0	622	2381	Somerst	2Story	Typical	376477
283	7	497	5	2	1	2014	2014	1095	3	475	22106	NAmes	1Story	Good	412254
284	5	4316	1	3	0	2000	2000	969	0	322	27577	OldTown	SLvl	Typical	491620
285	5	3382	3	3	0	1986	1986	2065	3	976	3034	OldTown	1.5Fin	Poor	410745
286	10	1398	3	2	1	1989	1989	2446	0	63	10824	OldTown	1Story	Poor	441407
287	2	1212	1	2	0	2004	2004	14	1	758	18834	NAmes	1Story		269025
288	6	805	2	1	0	1989	1989	1159	2	210	21586	Somerst	1.5Fin	Excellent	433357
289	6	2339	1	1	0	2013	2013	298	1	222	22456	OldTown	1.5Fin	Fair	356163
290	5	3490	1	2	1	2020	2020	1084	2	154	21286	NAmes	1Story		506565
291	9	2795	3	1	0	2022	2022	1543	2	102	3890	NAmes	SLvl	Excellent	609422
292	3	4013	3	3	1	1997	2025		2	124	8735	Edwards	1.5Fin	Excellent	469574
293	10	1809	2	3	0	2006	2006	773	1	833	14873	Edwards	2Story	Typical	483905
294	4	1540	2	1	1	1973	2019	780	3	927	3317	Edwards	1Story	Good	306220
295	6	2360	1	2	0	1952	1964	749	2	585	11281		2Story	Excellent	500452
296	6	1228	4	1	1	1980	1980	814	1	13	12472	Somerst	2Story	Good	412903
297	9	4401	2	2	0	2016	2016	935	2	865	29376	NridgHt	1Story	Typical	762508
298	5	1161	5	1	1	1960	1973	1720	3	602	10538		2Story	Good	443504
299	3	2363	3	2	0	1991	2014	240	3	521	29185	NridgHt	1Story	Fair	424794
300	1	2540	5	2	0	1964	1985	102	2	948	21458	Somerst	1Story	Excellent	406755
301	4	633	4	2	0	1982	1982	1292	3	410	21230	OldTown	1Story	Poor	236889
302	9	2320	2	2	0	1960	2014	1705	3	360	24864	Edwards	2Story	Fair	516215
303	1	2264	4	1	0	2005	2005	647	1	780	25506	Edwards	2Story	Fair	241279
